sentence,sentiment
"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!",positive
I did not have any problem with this item and would order it again if needed.,positive
You get what you pay for I guess.,negative
"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",positive
im surprised this is a good quality car charger and there's not much reviews about it.,positive
These are fabulous!,positive
"However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.",negative
I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,positive
Disappointing accessory from a good manufacturer.,negative
"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",negative
Very wind-resistant.,positive
"Obviously they have a terrible customer service, so you get what you pay for.",negative
"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",positive
"I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck.",negative
Linksys should have some way to exchange a bad phone for a refurb unit or something!,negative
Phone is sturdy as all nokia bar phones are.,positive
Great phone.,positive
"When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.",negative
I'm pleased.,positive
Battery is terrible.,negative
I found the product to be easy to set up and use.,positive
The earpiece on this is too large or too heavy...it keeps falling out of my ear.,negative
Utter crap.. Sound quality is TERRIBLE.,negative
"The charger arrived within the promised timeframe, but it did not work.",negative
"No ear loop needed, it's tiny and the sound is great.",positive
"Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.",negative
"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.",positive
Talk about USELESS customer service.,negative
"It felt too light and ""tinny."".",negative
This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.,negative
I'm happy about this purchase- good quality and low price.,positive
I love the look and feel of Samsung flipphones.,positive
Its well-designed and very sharp -- the blue is a very nice color.,positive
Does everything it should and more.,positive
I could not recommend these more.,negative
Nice Sound.,positive
"Looks good in the picture, but this case was a huge disappointment!!",negative
Much less than the jawbone I was going to replace it with.,positive
Setup went very smoothly.,positive
its extremely slow and takes forever to do anything with it.,negative
"A must study for anyone interested in the ""worst sins"" of industrial design.",negative
The first thing that happened was that the tracking was off.,negative
"It is well made, easy to access the phone and has a handy, detachable belt clip.",positive
Then I had to continue pairing it periodically since it somehow kept dropping.,negative
Can't upload ringtones from a third party.,negative
"Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.",negative
Truly awful.,negative
"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",positive
The volume for the ringer is REAL good (you have choices how loud).,positive
And none of the tones is acceptable.,negative
camera color balance is AWFUL.,negative
"This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.",negative
I love the ringtones because they are so upbeat!,positive
Chinese Forgeries Abound!.,negative
Easy to pair with my Samsung Cell.,positive
The instructions didn't explain that a microphone jack could be used.,negative
i would advise to not purchase this item it never worked very well.,negative
Too bad you have to pay up to $$$ a month for the service!,negative
Works well.,positive
The nokia CA-42 USB cable did not work with my phone.,negative
Clear crisp sound.,positive
"I have to use the smallest earpieces provided, but it stays on pretty well.",positive
"The biggest complaint I have is, the battery drains superfast.",negative
The design might be ergonomic in theory but I could not stand having these in my ear.,negative
Do NOT buy if you want to use the holster.,negative
The phone can also take great pictures and even video clips.,positive
It doesn't make you look cool.,negative
"Because both ears are occupied, background is not distracting at all.",positive
"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",positive
"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",negative
You can't beat the price on these.,positive
"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",positive
lightweight and works well.,positive
So just beware.,negative
I love this cable - it allows me to connect any mini-USB device to my PC.,positive
So anyone near you will hear part of your conversation.,negative
This is cool because most cases are just open there allowing the screen to get all scratched up.,positive
I bought this phone as a replacement for my StarTac and have regretted it since.,negative
Appears to actually outperform the original battery from China that came with my V325i.,positive
Can't store anything but phone numbers to SIM.,negative
"It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.",negative
Poor quality.,negative
"jabra ear gels ""R"" the best!.",positive
Not worth it.,negative
The phone crashed completely and now I have to get it replaced.,negative
"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",positive
"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",negative
It was a great phone.,positive
if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,negative
"Good value, works fine - power via USB, car, or wall outlet.",positive
My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,positive
This is simply the BEST bluetooth headset for sound quality!,positive
Think it over when you plan to own this one!This sure is the last MOTO phone for me!,negative
"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",positive
I have always used corded headsets and the freedom from the wireless is very helpful.,positive
"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",positive
"Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.",positive
It has everything I need and I couldn't ask for more.,positive
After receiving and using the product for just 2 days it broke.,negative
This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,positive
None of the three sizes they sent with the headset would stay in my ears.,negative
T-Mobile has the best customer service anywhere.,positive
Arrived quickly and much less expensive than others being sold.,positive
We have tried 2 units and they both failed within 2 months.. Pros,negative
"Provides good protection and looks classy, too.",positive
Krussel Always good.,positive
"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",positive
The design is very good.4.,positive
I great reception all the time.,positive
I would highly recommend this product.,positive
"Couldn't use the unit with sunglasses, not good in Texas!",negative
It dit not work most of the time with my Nokia 5320.,negative
"Bought mainly for the charger, which broke soon after purchasing.",negative
"If you like a loud buzzing to override all your conversations, then this phone is for you!",negative
Fantastic buy and will get again for whatever my next phone is,positive
"stay away from this store, be careful.",negative
This BlueAnt Supertooth hands-free phone speaker is AWESOME.,positive
Does not fit.,negative
.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,positive
"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",positive
disappointing.,negative
Blue Ant is easy to use.,positive
Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,positive
The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,negative
Then a few days later the a puff of smoke came out of the phone while in use.,negative
It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,positive
The nano stated it.My son was dissapointed.,negative
The sound quality is excellent as well.,positive
Its the best headset I have used.,positive
Would not reccommend.,negative
They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,positive
Just what I wanted.,positive
This particular model would not work with my Motorola Q smartphone.,negative
wont work right or atleast for me.,negative
in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.,negative
"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.",negative
"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good",negative
Great product.,positive
Crisp and Clear.,positive
AFter the first charge kept going dead after 12 minutes.,negative
"VERY cheap plastic, creaks like an old wooden floor.",negative
"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.",negative
The reception has been generally good.,positive
"Excellent sound, battery life and inconspicuous to boot!.",positive
Great bluetooth!.,positive
I highly recommend this case.,positive
WORTHWHILE.,positive
This is a great deal.,positive
"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",negative
I am sorry I made this purchase.,negative
I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,negative
Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,negative
It was horrible!.,negative
I don't think it would hold it too securly on your belt.,negative
This allows the possibility of double booking for the same date and time after the first.,negative
They work about 2 weeks then break.,negative
It is simple to use and I like it.,positive
"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!",positive
I can't use this case because the smell is disgusting.,negative
NOT WHAT I WANTED.,negative
I own 2 of these cases and would order another.,positive
Great Phone.,positive
I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,positive
"The internet access was fine, it the rare instance that it worked.",negative
Perfect for the PS3.,positive
"Five star Plus, plus.",positive
A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,positive
$50 Down the drain.,negative
I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,negative
"Good , works fine.",positive
For the price this was a great deal.,positive
"Great price, too!",positive
"If there is a wind, it is completely useless.",negative
Yes it's shiny on front side - and I love it!,positive
Does Not Work.,negative
"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).",negative
The reception through this headset is excellent.,positive
2 thumbs up to this seller,positive
"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",positive
Improper description.... I had to return it.,negative
#1 It Works - #2 It is Comfortable.,positive
Battery charge-life is quite long.,positive
The Jabra EarGels fit my ears very well.,positive
Battery has no life.,negative
I checked everywhere and there is no feature for it which is really disappointing.,negative
Product is exactly as described.,positive
Gets a signal when other Verizon phones won't.,positive
Doesn't do the job.,negative
I would recommend it.,positive
Plan on ordering from them again and again.,positive
"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",positive
I have been very satisfied with this cell phone from day one.,positive
They keep getting better and better (this is my third one and I've had numerous Palms too).,positive
Awkward to use and unreliable.,negative
The shipping time was also very quick!,positive
Not as good as I had hoped.,negative
Good case!.,positive
Doesn't Work.,negative
Really good product.,positive
Unfortunately it did not work.,negative
All three broke within two months of use.,negative
dont buy it.,negative
"My father has the V265, and the battery is dying.",negative
"However, the ear pads come off easily and after only one week I lost one.",negative
"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",negative
"Horrible, horrible protector.",negative
I don't like this Nokia either.,negative
"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",negative
I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,negative
It would take too long to describe how bad my customer service experience has been with Amazon.,negative
the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,negative
Terrible.. My car will not accept this cassette.,negative
"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",negative
It's not what it says it is.,negative
Stay Away From the Q!.,negative
Used and dirty.,negative
Very unreliable service from T-mobile !,negative
Not good enough for the price.,negative
I bought two of them and neither will charge.,negative
It looks very nice.,positive
"This is an excellent tool, especially when paired with your phone's auto-answer.",positive
I have read other's reviews here but I haven't had any problem with it.,positive
These products cover up the important light sensor above the ear outlet.,negative
Comfortable in my hand.,positive
Just does not work.,negative
Poor Reliability.,negative
(It works!),positive
"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",negative
"Terrible product, and waste of money!",negative
Last time buying from you.,negative
It was a waste of my money.,negative
So far it has worked like a charm.,positive
"I have only had it for a few weeks, but so far, so good.",positive
"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",positive
Would recommend this item.,positive
It's been my choice headset for years.Great sound; good volume; good noise cancellation.,positive
"Nice case, feels good in your hands.",positive
The item received was Counterfeit.,negative
"Just really good.. So far, probably the best BT headset I have ever had.",positive
Works fine.,positive
I received my headset in good time and was happy with it.,positive
I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,positive
My sister has one also and she loves it.,positive
Good Quality.,positive
This is by far the worst purchase I've made on Amazon.,negative
Excellent dual-purpose headset.,positive
Excellent!.,positive
Does not work for listening to music with the cingular 8125.,negative
"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",positive
"The bottowm line...another worthless, cheap gimmick from Sprint.",negative
Having trouble with volume.,negative
The only good thing was that it fits comfortably on small ears.,positive
WARNING - DO NOT BUY!!.,negative
"I am pairing this with my iphone, and I could not be happier with it so far.",positive
"When it opens, the battery connection is broken and the device is turned off.",negative
"I didn't want the clip going over the top of my ear, causing discomfort.",negative
Best headset ever!!!.,positive
Don't trust their website and don't expect any helpful support.,negative
It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,positive
The speaker is of low quality so as making the ring tones sound very cheap.,negative
"Fits comfortably, came with three sizes of earbud tips.",positive
Excellent product for the price.,positive
Bad Reception.,negative
This product is very High quality Chinese CRAP!!!!!!,negative
It was quite comfortable in the ear.,positive
Great phone.,positive
Don't buy this product - It fails!.,negative
Everything about this product is wrong.First,negative
The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,positive
"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",negative
Terrible phone holder.,negative
The cutouts and buttons are placed perfectly.,positive
I love being able to use one headset for both by land-line and cell.,positive
Problem is that the ear loops are made of weak material and break easily.,negative
Not nearly as good looking as the AMAZON picture makes it look.,negative
"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",positive
How stupid is that?,negative
"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",positive
Seller shipped quickly and much cheaper than the competitors.,positive
"Good show, Samsung.",positive
So I bought about 10 of these and saved alot of money.,positive
It always cuts out and makes a beep beep beep sound then says signal failed.,negative
Couldn't figure it out,negative
"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",negative
So I had to take the battery out of the phone put it all back together and then restart it.,negative
"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",negative
Leopard Print is wonderfully wild!.,positive
Works for me.,positive
"Saggy, floppy piece of junk.",negative
much better than the hard plastic cases.,positive
It also had a new problem.,negative
Happy so far!.,positive
cool phone.,positive
Works good.,positive
Motorola finally got the voice quality of a bluetooth headset right.,positive
It looses connection to the phone even when it is within a couple feet between the two.,negative
"but it is great, i would really recommend it",positive
Makes it easier to keep up with my bluetooth when I'm not wearing it.,negative
As I said above....PRETTY USELESS!,negative
Never got it!!!!!,negative
This pair of headphones is the worst that I have ever had sound-wise.,negative
[...] down the drain because of a weak snap!,negative
Does not charge the Cingular (ATT) 8525 phone.,negative
"You get extra minutes so that you can carry out the call and not get cut off.""",positive
"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",negative
I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,negative
The headset fulfills my requirements so I am happy with my purchase.,positive
Logitech Bluetooth Headset is a 10!.,positive
"I like the fact that it rests lightly against your ear, rather than inside.",positive
A lot of websites have been rating this a very good phone and so do I.,positive
I have tried these cables with my computer and my iPod and it works just fine.,positive
"The mic there is a joke, and the volume is quite low.",negative
I'm returning them.,negative
I does not maintain a connection with the computer while it is on my lap.,negative
It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,positive
I have had mine for about a year and this Christmas I bought some for the rest of the family.,positive
"Otherwise, easy to install and use, clear sound.",positive
nice leather.,positive
I had to purchase a different case.,negative
It is a joy to use.,positive
Very much disappointed with this company.,negative
Very satisifed with that.,positive
It didn't charge for me.,negative
This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,positive
Buttons are too small.,negative
Just reading on the specs alone makes you say WOW.,positive
Love it.. Great armband.,positive
I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,positive
"However, the keypads are so tinny that I sometimes reach the wrong buttons.",negative
I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,positive
I was very impressed with the price of the cases.,positive
Also makes it easier to hold on to.,positive
"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",positive
It's pretty easy.,positive
I cannot make calls at certain places.,negative
"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",negative
Beautiful styling though.,positive
This company charge me a restocking fee and still not given me my refund back.,negative
I'm trying to return it for a refund.,negative
I plugged it in only to find out not a darn thing worked.,negative
Excellent product.,positive
Earbud piece breaks easily.,negative
Lousy product.,negative
This phone tries very hard to do everything but fails at it's very ability to be a phone.,negative
It is the best charger I have seen on the market yet.,positive
SWEETEST PHONE!!!,positive
":-)Oh, the charger seems to work fine.",positive
It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,positive
Not enough volume.,negative
Echo Problem....Very unsatisfactory,negative
you could only take 2 videos at a time and the quality was very poor.,negative
don't waste your money.,negative
I am going to have to be the first to negatively review this product.,negative
Adapter does not provide enough charging current.,negative
"There was so much hype over this phone that I assumed it was the best, my mistake.",negative
You also cannot take pictures with it in the case because the lense is covered.,negative
Phone falls out easily.,negative
"It didn't work, people can not hear me when I talk.",negative
The text messaging feature is really tricky to use.,negative
I'm really disappointed all I have now is a charger that doesn't work.,negative
Painful on the ear.,negative
Lasted one day and then blew up.,negative
disappointed.,negative
Kind of flops around.,negative
The screen does get smudged easily because it touches your ear and face.,negative
What a piece of junk.. I lose more calls on this phone.,negative
Item Does Not Match Picture.,negative
The only thing that disappoint me is the infra red port (irda).,negative
"You can not answer calls with the unit, never worked once!",negative
"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  ",negative
"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",negative
"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  ",negative
Very little music or anything to speak of.  ,negative
The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,positive
"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",negative
Wasted two hours.  ,negative
"Saw the movie today and thought it was a good effort, good messages for kids.  ",positive
A bit predictable.  ,negative
Loved the casting of Jimmy Buffet as the science teacher.  ,positive
And those baby owls were adorable.  ,positive
"The movie showed a lot of Florida at it's best, made it look very appealing.  ",positive
The Songs Were The Best And The Muppets Were So Hilarious.  ,positive
It Was So Cool.  ,positive
"This is a very ""right on case"" movie that delivers everything almost right in your face.  ",positive
"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",negative
"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",positive
"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",positive
"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.  ",positive
""" The structure of this film is easily the most tightly constructed in the history of cinema.  ",positive
I can think of no other film where something vitally important occurs every other minute.  ,positive
"In other words, the content level of this film is enough to easily fill a dozen other films.  ",positive
How can anyone in their right mind ask for anything more from a movie than this?  ,positive
"It's quite simply the highest, most superlative form of cinema imaginable.  ",positive
"Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  ",positive
This short film certainly pulls no punches.  ,negative
Graphics is far from the best part of the game.  ,negative
This is the number one best TH game in the series.  ,positive
It deserves strong love.  ,positive
It is an insane game.  ,positive
"There are massive levels, massive unlockable characters... it's just a massive game.  ",positive
Waste your money on this game.  ,positive
This is the kind of money that is wasted properly.  ,positive
"Actually, the graphics were good at the time.  ",positive
Today the graphics are crap.  ,negative
"As they say in Canada, This is the fun game, aye.  ",positive
This game rocks.  ,positive
"Buy it, play it, enjoy it, love it.  ",positive
It's PURE BRILLIANCE.  ,positive
This was a flick doomed from its conception.  ,negative
"The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.  ",negative
I wasn't the least bit interested.  ,negative
"Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  ",negative
But it's just not funny.  ,negative
But even the talented Carrell can't save this.  ,negative
"His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  ",negative
The story itself is just predictable and lazy.  ,negative
"The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  ",negative
"But whatever it was that cost them so much, it didn't translate to quality, that's for sure.  ",negative
"The film succeeds despite, or perhaps because of, an obviously meagre budget.  ",positive
"I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  ",positive
"In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  ",positive
It's hard not to fall head-over-heels in love with that girl.  ,positive
"On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.  ",negative
"Long, whiny and pointless.  ",negative
"But I recommend waiting for their future efforts, let this one go.  ",negative
"Excellent cast, story line, performances.  ",positive
Totally believable.  ,positive
Anne Heche was utterly convincing.  ,positive
Sam Shepard's portrayal of a gung ho Marine was sobering.  ,positive
I sat riveted to the TV screen.  ,positive
All in all I give this one a resounding 9 out of 10.  ,positive
I do think Tom Hanks is a good actor.  ,positive
I enjoyed reading this book to my children when they were little.  ,positive
I was very disappointed in the movie.  ,negative
One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  ,negative
There is a totally unnecessary train/roller coaster scene.  ,negative
There was absolutely no warmth or charm to these scenes or characters.  ,negative
This movie totally grates on my nerves.  ,negative
"The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  ",negative
"And, quite honestly, often its not very good.  ",negative
"Often the dialogue doesn't really follow from one line to another, or fit the surroundings.  ",negative
"It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  ",negative
There are some generally great things in it.  ,positive
"I wouldn't say they're worth 2 hours of your time, though.  ",negative
"The suspense builders were good, & just cross the line from G to PG.  ",positive
"I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.  ",positive
"If you want a movie that's not gross but gives you some chills, this is a great choice.  ",positive
Alexander Nevsky is a great film.  ,positive
"He is an amazing film artist, one of the most important whoever lived.  ",positive
"I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained ""movie business"" of Québec.  ",negative
This if the first movie I've given a 10 to in years.  ,positive
"If there was ever a movie that needed word-of-mouth to promote, this is it.  ",positive
"Overall, the film is interesting and thought-provoking.  ",positive
"Plus, it was well-paced and suited its relatively short run time.  ",positive
Give this one a look.  ,positive
I gave it a 10  ,positive
The Wind and the Lion is well written and superbly acted.  ,positive
It is a true classic.  ,positive
It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ,positive
Definitely worth checking out.  ,positive
The problem was the script.  ,negative
It was horrendous.  ,negative
There was NOTHING believable about it at all.  ,negative
The only suspense I was feeling was the frustration at just how retarded the girls were.  ,negative
MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  ,positive
The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.  ,positive
The cast of veteran actors are more than just a nostalgia trip.  ,positive
Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  ,positive
"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  ",positive
I don't think you will be disappointed.  ,positive
"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.  ",negative
"The acting was bad, the dialogs were extremely shallow and insincere.  ",negative
"It was too predictable, even for a chick flick.  ",negative
Too politically correct.  ,negative
Very disappointing.  ,negative
"The only thing really worth watching was the scenery and the house, because it is beautiful.  ",positive
"I love Lane, but I've never seen her in a movie this lousy.  ",negative
An hour and a half I wish I could bring back.  ,negative
But in terms of the writing it's very fresh and bold.  ,positive
"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  ",positive
The directing and the cinematography aren't quite as good.  ,negative
"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  ",negative
"), and sometimes it was so embarrassing that I had to look away.  ",negative
The directing seems too pretentious.  ,negative
"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.  ",negative
And generally the lines and plot is weaker than the average episode.  ,negative
"Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.  ",negative
"Some applause should be given to the ""prelude"" however.  ",positive
I really liked that.  ,positive
A great film by a great director.  ,positive
The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.  ,positive
The music in the film is really nice too.  ,positive
I'd advise anyone to go and see it.  ,positive
Brilliant!  ,positive
10-Oct,positive
I liked this movie way too much.  ,positive
My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  ,negative
It rocked my world and is certainly a must see for anyone with no social or physical outlets.  ,positive
"However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",negative
"There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.  ",negative
There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.  ,negative
"This was a poor remake of ""My Best Friends Wedding"".  ",negative
"All in all, a great disappointment.  ",negative
"I cannot believe that the actors agreed to do this ""film"".  ",negative
I could not stand to even watch it for very long for fear of losing I.Q.  ,negative
I guess that nobody at the network that aired this dribble watched it before putting it on.  ,negative
"IMDB ratings only go as low 1 for awful, it's time to get some negative numbers in there for cases such as these.  ",negative
"I saw ""Mirrormask"" last night and it was an unsatisfactory experience.  ",negative
"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.  ",negative
"These are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.  ",negative
All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.  ,negative
"It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.  ",negative
"You can't relate with them, hell you barely can understand them.  ",negative
This is definitely a cult classic well worth viewing and sharing with others.  ,positive
"This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly.  ",negative
The fish is badly made and some of its underwater shots are repeated a thousand times in the film.  ,negative
"A truly, truly bad film.  ",negative
"The acting is terrible, and the writing is worse.  ",negative
The only possible way this movie could be redeemed would be as MST3K fodder.  ,negative
I paid too much.  ,negative
"Also, it's a real treat to see Anthony Quinn playing Crazy Horse.  ",positive
It was so BORING!  ,negative
No plot whatsoever!  ,negative
"Again, no plot at all.  ",negative
Horrible!  ,negative
Worst hour and a half of my life!Oh my gosh!  ,negative
I had to walk out of the theatre for a few minutes just to get some relief!  ,negative
I hate movies like that.  ,negative
"Yeah, the movie pretty much sucked.  ",negative
THERE IS NO PLOT OR STORYLINE!!  ,negative
"If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.  ",negative
Awful.  ,negative
I don't think I've ever gone to a movie and disliked it as much.  ,negative
It was a good thing that the tickets only cost five dollars because I would be mad if I'd have paid $7.50 to see this crap.  ,negative
NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).  ,negative
"This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.  ",negative
"Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.  ",negative
"Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.  ",positive
Your brain will attempt to shut-down as part of a primal impulse of self-preservation.  ,negative
I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.  ,negative
This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  ,negative
I certainly do not mean this distinction in a good way.  ,negative
I mean this in a terrible way.  ,negative
This film has no redeeming features.  ,negative
Everything is appalling.  ,negative
"Artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.  ",negative
The story is beyond stupid.  ,negative
The script iswas there a script?  ,negative
The kids are annoying.  ,negative
The lead man is charisma-free.  ,negative
"Utterly without merit on any level, this is akin to torture.  ",negative
I'll even say it again  this is torture.  ,negative
Maybe there would be a reasonable explanation for this atrocity.  ,negative
